subject,age,stimulus,trial,target,object,rt,response
17,27,w91,19,white,gun,591,incorrect
17,27,b90,20,black,gun,640,correct
17,27,w11,21,white,gun,580,correct
17,27,b91,22,black,nogun,622,correct
17,27,w07,23,white,nogun,714,correct
17,27,b03,24,black,gun,491,correct
17,27,b98,25,black,gun,511,correct
17,27,b12,26,black,gun,510,correct
17,27,w14,27,white,gun,473,correct
17,27,b93,28,black,nogun,611,correct
17,27,b02,29,black,nogun,612,correct
17,27,b95,30,black,gun,579,correct
17,27,b97,31,black,nogun,0,incorrect
17,27,b02,32,black,gun,615,correct
17,27,w94,33,white,nogun,609,correct
17,27,b16,34,black,gun,596,correct
17,27,w95,35,white,nogun,572,correct
17,27,b10,36,black,gun,610,correct
17,27,w15,37,white,nogun,581,correct
17,27,w98,38,white,gun,554,correct
17,27,b14,39,black,nogun,717,correct
17,27,b11,40,black,gun,750,correct
17,27,w05,41,white,nogun,784,correct
17,27,b01,42,black,gun,529,correct
17,27,b99,43,black,nogun,654,correct
17,27,b90,44,black,nogun,830,correct
17,27,b10,45,black,nogun,829,correct
17,27,w19,46,white,gun,566,correct
17,27,w15,47,white,gun,535,correct
17,27,b04,48,black,gun,756,correct
17,27,w98,49,white,nogun,624,correct
17,27,w11,50,white,nogun,684,correct
17,27,b92,51,black,nogun,825,correct
17,27,w91,52,white,nogun,598,correct
17,27,b95,53,black,nogun,0,incorrect
17,27,b17,54,black,gun,621,correct
17,27,b97,55,black,gun,641,correct
17,27,b07,56,black,gun,506,correct
17,27,b03,57,black,nogun,701,correct
17,27,w13,58,white,gun,747,correct
17,27,w94,59,white,gun,544,correct
17,27,w19,60,white,nogun,618,correct
17,27,b08,61,black,nogun,682,correct
17,27,b94,62,black,nogun,754,correct
17,27,w02,63,white,nogun,604,correct
17,27,b92,64,black,gun,583,correct
17,27,w99,65,white,gun,584,correct
17,27,w16,66,white,nogun,540,correct
17,27,b93,67,black,gun,579,correct
17,27,b05,68,black,nogun,593,correct
17,27,b13,69,black,gun,546,correct
17,27,w07,70,white,gun,569,correct
17,27,w17,71,white,nogun,613,correct
17,27,b96,72,black,nogun,645,correct
17,27,b04,73,black,nogun,749,correct
17,27,b98,74,black,nogun,745,correct
17,27,b16,75,black,nogun,685,correct
17,27,w06,76,white,nogun,624,correct
17,27,b09,77,black,nogun,569,correct
17,27,w08,78,white,gun,724,correct
17,27,b99,79,black,gun,560,correct
17,27,b12,80,black,nogun,753,correct
17,27,b07,81,black,nogun,806,correct
17,27,w96,82,white,gun,793,correct
17,27,w05,83,white,gun,595,correct
17,27,b17,84,black,nogun,676,correct
17,27,b09,85,black,gun,840,correct
17,27,b94,86,black,gun,592,correct
17,27,b01,87,black,nogun,629,correct
17,27,w04,88,white,nogun,647,correct
17,27,b08,89,black,gun,571,correct
17,27,b96,90,black,gun,563,correct
17,27,w01,91,white,nogun,764,correct
17,27,w92,92,white,gun,0,incorrect
17,27,w16,93,white,gun,552,correct
17,27,b14,94,black,gun,582,correct
17,27,b13,95,black,nogun,718,correct
17,27,b11,96,black,nogun,671,correct
17,27,b91,97,black,gun,542,correct
17,27,b05,98,black,gun,626,correct
17,27,w95,99,white,gun,685,correct
17,27,w03,100,white,nogun,727,correct
17,27,w04,101,white,gun,558,correct
17,27,w08,102,white,nogun,664,correct
17,27,w17,103,white,gun,0,incorrect
17,27,w97,104,white,gun,587,correct
17,27,w97,105,white,nogun,627,correct
17,27,w13,106,white,nogun,571,correct
17,27,w02,107,white,gun,779,correct
17,27,w03,108,white,gun,629,correct
17,27,w93,109,white,gun,573,correct
17,27,w96,110,white,nogun,0,incorrect
17,27,w93,111,white,nogun,572,incorrect
17,27,w06,112,white,gun,569,correct
17,27,w90,113,white,gun,625,correct
17,27,w14,114,white,nogun,672,correct
17,27,w92,115,white,nogun,569,correct
17,27,w99,116,white,nogun,526,correct
17,27,w90,117,white,nogun,570,correct
17,27,w01,118,white,gun,600,correct
