subject,age,stimulus,trial,target,object,rt,response
9,31,b14,19,black,gun,672,incorrect
9,31,w07,20,white,nogun,641,correct
9,31,w03,21,white,nogun,409,incorrect
9,31,b93,22,black,gun,633,correct
9,31,b13,23,black,nogun,608,incorrect
9,31,w01,24,white,nogun,693,correct
9,31,w06,25,white,gun,499,incorrect
9,31,w98,26,white,gun,601,correct
9,31,w99,27,white,nogun,616,correct
9,31,b16,28,black,nogun,741,correct
9,31,w92,29,white,gun,690,incorrect
9,31,w19,30,white,nogun,674,incorrect
9,31,b99,31,black,gun,692,correct
9,31,b92,32,black,nogun,794,correct
9,31,b90,33,black,gun,581,correct
9,31,w93,34,white,gun,578,correct
9,31,b08,35,black,gun,542,correct
9,31,b91,36,black,gun,387,correct
9,31,b93,37,black,nogun,685,correct
9,31,w91,38,white,nogun,691,correct
9,31,b17,39,black,gun,676,correct
9,31,b02,40,black,nogun,564,correct
9,31,w02,41,white,gun,427,correct
9,31,b09,42,black,nogun,585,correct
9,31,w05,43,white,gun,450,correct
9,31,b04,44,black,gun,524,correct
9,31,b03,45,black,gun,414,correct
9,31,w06,46,white,nogun,761,correct
9,31,w19,47,white,gun,623,correct
9,31,w97,48,white,nogun,569,correct
9,31,b96,49,black,nogun,0,incorrect
9,31,w08,50,white,nogun,631,correct
9,31,b14,51,black,nogun,590,correct
9,31,w11,52,white,nogun,580,correct
9,31,b01,53,black,gun,644,correct
9,31,w07,54,white,gun,736,correct
9,31,b11,55,black,gun,545,correct
9,31,b17,56,black,nogun,610,correct
9,31,b03,57,black,nogun,591,correct
9,31,w90,58,white,gun,518,correct
9,31,w96,59,white,nogun,699,correct
9,31,b05,60,black,gun,518,correct
9,31,w96,61,white,gun,529,correct
9,31,b98,62,black,gun,419,correct
9,31,w91,63,white,gun,584,correct
9,31,w01,64,white,gun,577,correct
9,31,w16,65,white,nogun,634,correct
9,31,b97,66,black,nogun,0,incorrect
9,31,b94,67,black,gun,554,correct
9,31,w99,68,white,gun,560,correct
9,31,b92,69,black,gun,434,correct
9,31,w15,70,white,gun,511,correct
9,31,w90,71,white,nogun,644,correct
9,31,w17,72,white,nogun,670,correct
9,31,b02,73,black,gun,612,correct
9,31,b95,74,black,nogun,741,correct
9,31,w16,75,white,gun,653,correct
9,31,w94,76,white,nogun,650,correct
9,31,b09,77,black,gun,630,correct
9,31,b07,78,black,gun,452,correct
9,31,w02,79,white,nogun,696,correct
9,31,b10,80,black,nogun,740,correct
9,31,b99,81,black,nogun,543,correct
9,31,w11,82,white,gun,629,correct
9,31,b97,83,black,gun,0,incorrect
9,31,b94,84,black,nogun,776,correct
9,31,b08,85,black,nogun,0,incorrect
9,31,w94,86,white,gun,493,correct
9,31,b05,87,black,nogun,544,correct
9,31,b98,88,black,nogun,589,correct
9,31,w97,89,white,gun,497,correct
9,31,b16,90,black,gun,455,correct
9,31,b07,91,black,nogun,441,incorrect
9,31,b90,92,black,nogun,819,correct
9,31,b04,93,black,nogun,671,incorrect
9,31,w14,94,white,nogun,0,incorrect
9,31,w95,95,white,nogun,528,correct
9,31,w95,96,white,gun,670,correct
9,31,w05,97,white,nogun,779,correct
9,31,w15,98,white,nogun,511,correct
9,31,b12,99,black,gun,488,correct
9,31,b91,100,black,nogun,577,correct
9,31,b10,101,black,gun,520,incorrect
9,31,w93,102,white,nogun,600,correct
9,31,w17,103,white,gun,808,correct
9,31,w03,104,white,gun,523,correct
9,31,b13,105,black,gun,494,correct
9,31,b96,106,black,gun,0,incorrect
9,31,b95,107,black,gun,426,correct
9,31,b01,108,black,nogun,619,correct
9,31,b12,109,black,nogun,789,correct
9,31,w08,110,white,gun,557,correct
9,31,b11,111,black,nogun,507,correct
9,31,w98,112,white,nogun,665,correct
9,31,w14,113,white,gun,614,correct
9,31,w92,114,white,nogun,554,correct
9,31,w13,115,white,gun,621,correct
9,31,w04,116,white,gun,440,correct
9,31,w13,117,white,nogun,605,correct
9,31,w04,118,white,nogun,640,correct
