subject,age,stimulus,trial,target,object,rt,response
13,29,b04,19,black,nogun,600,correct
13,29,w05,20,white,nogun,656,correct
13,29,w04,21,white,nogun,555,correct
13,29,b05,22,black,nogun,617,correct
13,29,w19,23,white,gun,539,correct
13,29,w19,24,white,nogun,766,correct
13,29,w15,25,white,nogun,594,correct
13,29,b91,26,black,gun,510,correct
13,29,b11,27,black,gun,677,correct
13,29,b98,28,black,nogun,579,correct
13,29,w11,29,white,gun,588,correct
13,29,w14,30,white,nogun,664,correct
13,29,w90,31,white,nogun,667,correct
13,29,b08,32,black,nogun,640,correct
13,29,b93,33,black,gun,542,correct
13,29,w08,34,white,gun,679,correct
13,29,w03,35,white,gun,619,correct
13,29,w17,36,white,nogun,694,correct
13,29,w95,37,white,gun,710,correct
13,29,w94,38,white,nogun,724,correct
13,29,w98,39,white,gun,544,correct
13,29,w91,40,white,gun,0,incorrect
13,29,w01,41,white,nogun,649,correct
13,29,w97,42,white,gun,504,correct
13,29,w14,43,white,gun,512,correct
13,29,b09,44,black,nogun,602,correct
13,29,b13,45,black,nogun,657,correct
13,29,w13,46,white,gun,617,correct
13,29,w94,47,white,gun,538,correct
13,29,w16,48,white,nogun,692,correct
13,29,b16,49,black,gun,597,correct
13,29,w06,50,white,gun,722,correct
13,29,w91,51,white,nogun,615,correct
13,29,w13,52,white,nogun,694,correct
13,29,b12,53,black,nogun,822,correct
13,29,w06,54,white,nogun,755,correct
13,29,b90,55,black,nogun,668,correct
13,29,w16,56,white,gun,668,correct
13,29,b03,57,black,nogun,571,correct
13,29,w98,58,white,nogun,734,correct
13,29,w97,59,white,nogun,637,correct
13,29,w93,60,white,gun,592,correct
13,29,w02,61,white,gun,835,correct
13,29,w99,62,white,nogun,619,correct
13,29,b99,63,black,nogun,594,correct
13,29,w96,64,white,gun,640,correct
13,29,w04,65,white,gun,549,correct
13,29,b98,66,black,gun,591,correct
13,29,w07,67,white,gun,568,correct
13,29,w99,68,white,gun,759,correct
13,29,b05,69,black,gun,539,correct
13,29,w15,70,white,gun,595,correct
13,29,b94,71,black,nogun,716,correct
13,29,w07,72,white,nogun,771,correct
13,29,b95,73,black,gun,568,correct
13,29,w90,74,white,gun,554,correct
13,29,b17,75,black,nogun,630,correct
13,29,b01,76,black,gun,514,correct
13,29,w02,77,white,nogun,633,correct
13,29,b09,78,black,gun,0,incorrect
13,29,b04,79,black,gun,632,correct
13,29,w95,80,white,nogun,653,correct
13,29,b97,81,black,nogun,809,correct
13,29,w08,82,white,nogun,768,correct
13,29,b14,83,black,gun,633,correct
13,29,w92,84,white,gun,761,correct
13,29,w92,85,white,nogun,725,correct
13,29,w96,86,white,nogun,0,incorrect
13,29,w01,87,white,gun,663,correct
13,29,w05,88,white,gun,543,correct
13,29,b97,89,black,gun,696,correct
13,29,b10,90,black,gun,556,correct
13,29,b14,91,black,nogun,728,correct
13,29,b93,92,black,nogun,702,correct
13,29,b07,93,black,nogun,0,incorrect
13,29,b02,94,black,nogun,664,correct
13,29,b08,95,black,gun,611,correct
13,29,w93,96,white,nogun,670,correct
13,29,w11,97,white,nogun,617,correct
13,29,b92,98,black,gun,645,correct
13,29,b99,99,black,gun,588,correct
13,29,w17,100,white,gun,751,correct
13,29,w03,101,white,nogun,814,correct
13,29,b91,102,black,nogun,637,correct
13,29,b96,103,black,gun,581,correct
13,29,b02,104,black,gun,567,correct
13,29,b03,105,black,gun,452,correct
13,29,b11,106,black,nogun,554,correct
13,29,b92,107,black,nogun,687,correct
13,29,b16,108,black,nogun,651,correct
13,29,b17,109,black,gun,769,incorrect
13,29,b95,110,black,nogun,662,correct
13,29,b10,111,black,nogun,0,incorrect
13,29,b13,112,black,gun,670,correct
13,29,b90,113,black,gun,554,correct
13,29,b07,114,black,gun,584,correct
13,29,b01,115,black,nogun,685,correct
13,29,b94,116,black,gun,582,correct
13,29,b96,117,black,nogun,757,correct
13,29,b12,118,black,gun,624,correct
