subject,age,stimulus,trial,target,object,rt,response
12,30,b17,19,black,nogun,769,correct
12,30,b16,20,black,nogun,587,correct
12,30,w97,21,white,gun,504,correct
12,30,w98,22,white,gun,501,correct
12,30,w01,23,white,nogun,657,correct
12,30,b04,24,black,gun,607,correct
12,30,b98,25,black,nogun,688,correct
12,30,b10,26,black,nogun,775,correct
12,30,b99,27,black,gun,500,correct
12,30,b99,28,black,nogun,655,correct
12,30,b96,29,black,gun,537,correct
12,30,w95,30,white,nogun,0,incorrect
12,30,w13,31,white,nogun,643,correct
12,30,b09,32,black,gun,619,incorrect
12,30,b97,33,black,nogun,0,incorrect
12,30,w15,34,white,nogun,608,correct
12,30,w15,35,white,gun,603,correct
12,30,w11,36,white,gun,848,incorrect
12,30,w95,37,white,gun,846,correct
12,30,b01,38,black,gun,678,correct
12,30,b95,39,black,nogun,809,correct
12,30,b03,40,black,nogun,603,correct
12,30,w02,41,white,gun,443,correct
12,30,b02,42,black,nogun,754,correct
12,30,w94,43,white,gun,472,incorrect
12,30,w90,44,white,gun,767,correct
12,30,w02,45,white,nogun,531,correct
12,30,b07,46,black,gun,772,correct
12,30,b02,47,black,gun,719,correct
12,30,w05,48,white,gun,563,correct
12,30,w14,49,white,gun,586,correct
12,30,w11,50,white,nogun,601,correct
12,30,w03,51,white,nogun,614,correct
12,30,w19,52,white,gun,607,incorrect
12,30,b12,53,black,gun,715,correct
12,30,w91,54,white,nogun,630,correct
12,30,b05,55,black,nogun,815,correct
12,30,b13,56,black,nogun,0,incorrect
12,30,b91,57,black,gun,446,correct
12,30,w17,58,white,nogun,631,correct
12,30,w08,59,white,gun,676,incorrect
12,30,w17,60,white,gun,620,correct
12,30,b08,61,black,gun,536,correct
12,30,b08,62,black,nogun,630,correct
12,30,w08,63,white,nogun,706,correct
12,30,b94,64,black,nogun,677,correct
12,30,w91,65,white,gun,658,correct
12,30,w92,66,white,nogun,665,correct
12,30,b95,67,black,gun,536,correct
12,30,w04,68,white,nogun,593,correct
12,30,w06,69,white,gun,759,correct
12,30,b11,70,black,nogun,681,correct
12,30,w04,71,white,gun,819,correct
12,30,b03,72,black,gun,566,correct
12,30,b11,73,black,gun,697,correct
12,30,b90,74,black,nogun,594,correct
12,30,w93,75,white,nogun,682,correct
12,30,w99,76,white,gun,690,incorrect
12,30,b96,77,black,nogun,582,correct
12,30,w05,78,white,nogun,780,correct
12,30,b13,79,black,gun,573,correct
12,30,w16,80,white,nogun,602,correct
12,30,b91,81,black,nogun,612,correct
12,30,w98,82,white,nogun,720,correct
12,30,w97,83,white,nogun,617,correct
12,30,b14,84,black,nogun,682,correct
12,30,w96,85,white,gun,590,correct
12,30,b17,86,black,gun,657,correct
12,30,w16,87,white,gun,591,correct
12,30,b14,88,black,gun,529,correct
12,30,b07,89,black,nogun,716,correct
12,30,w19,90,white,nogun,753,correct
12,30,w03,91,white,gun,635,correct
12,30,w07,92,white,nogun,596,correct
12,30,w06,93,white,nogun,0,incorrect
12,30,b92,94,black,gun,564,correct
12,30,b04,95,black,nogun,732,correct
12,30,w93,96,white,gun,591,correct
12,30,w07,97,white,gun,611,correct
12,30,b94,98,black,gun,539,correct
12,30,w90,99,white,nogun,714,correct
12,30,w01,100,white,gun,576,correct
12,30,b16,101,black,gun,583,correct
12,30,w92,102,white,gun,675,correct
12,30,w96,103,white,nogun,760,correct
12,30,w94,104,white,nogun,796,correct
12,30,b90,105,black,gun,598,correct
12,30,b12,106,black,nogun,685,correct
12,30,b05,107,black,gun,549,correct
12,30,b93,108,black,gun,545,correct
12,30,b10,109,black,gun,721,correct
12,30,w99,110,white,nogun,684,correct
12,30,b93,111,black,nogun,679,correct
12,30,w13,112,white,gun,557,correct
12,30,w14,113,white,nogun,620,correct
12,30,b09,114,black,nogun,591,correct
12,30,b01,115,black,nogun,596,correct
12,30,b97,116,black,gun,631,correct
12,30,b98,117,black,gun,663,correct
12,30,b92,118,black,nogun,655,correct
