subject,age,stimulus,trial,target,object,rt,response
32,20,b17,19,black,gun,569,correct
32,20,b93,20,black,nogun,606,correct
32,20,b98,21,black,nogun,717,correct
32,20,b11,22,black,nogun,646,correct
32,20,w01,23,white,nogun,664,correct
32,20,w95,24,white,nogun,673,correct
32,20,w17,25,white,nogun,599,correct
32,20,w91,26,white,gun,694,correct
32,20,w13,27,white,nogun,539,correct
32,20,w19,28,white,gun,502,correct
32,20,w17,29,white,gun,628,correct
32,20,b13,30,black,nogun,691,correct
32,20,b10,31,black,nogun,636,incorrect
32,20,w90,32,white,nogun,768,correct
32,20,b08,33,black,gun,645,correct
32,20,w15,34,white,gun,437,correct
32,20,w98,35,white,gun,552,correct
32,20,w96,36,white,gun,611,correct
32,20,b02,37,black,nogun,474,correct
32,20,b95,38,black,nogun,609,correct
32,20,w99,39,white,gun,476,correct
32,20,w94,40,white,nogun,602,correct
32,20,b16,41,black,nogun,648,correct
32,20,b94,42,black,nogun,582,correct
32,20,w16,43,white,nogun,630,correct
32,20,b04,44,black,gun,522,correct
32,20,w07,45,white,gun,580,correct
32,20,w11,46,white,nogun,583,correct
32,20,w92,47,white,nogun,669,correct
32,20,b05,48,black,gun,630,correct
32,20,b11,49,black,gun,587,correct
32,20,b93,50,black,gun,654,correct
32,20,w08,51,white,nogun,595,correct
32,20,b03,52,black,gun,477,correct
32,20,w95,53,white,gun,695,correct
32,20,b96,54,black,gun,514,correct
32,20,b01,55,black,nogun,558,correct
32,20,b16,56,black,gun,519,correct
32,20,w91,57,white,nogun,566,correct
32,20,b97,58,black,nogun,0,incorrect
32,20,w94,59,white,gun,529,correct
32,20,w16,60,white,gun,576,correct
32,20,w04,61,white,nogun,503,correct
32,20,b12,62,black,gun,432,correct
32,20,w05,63,white,nogun,597,correct
32,20,w97,64,white,nogun,515,correct
32,20,w14,65,white,gun,440,correct
32,20,b12,66,black,nogun,649,correct
32,20,b07,67,black,gun,475,correct
32,20,b03,68,black,nogun,548,correct
32,20,w03,69,white,nogun,548,correct
32,20,b98,70,black,gun,452,correct
32,20,w04,71,white,gun,554,incorrect
32,20,w05,72,white,gun,411,correct
32,20,w97,73,white,gun,482,correct
32,20,w19,74,white,nogun,624,correct
32,20,b92,75,black,nogun,593,correct
32,20,w03,76,white,gun,607,correct
32,20,b07,77,black,nogun,684,correct
32,20,b04,78,black,nogun,625,correct
32,20,b02,79,black,gun,553,correct
32,20,b94,80,black,gun,578,correct
32,20,w98,81,white,nogun,587,correct
32,20,b14,82,black,nogun,542,correct
32,20,b09,83,black,nogun,494,correct
32,20,b90,84,black,nogun,526,correct
32,20,w01,85,white,gun,565,correct
32,20,w90,86,white,gun,434,correct
32,20,b97,87,black,gun,433,correct
32,20,w06,88,white,nogun,583,correct
32,20,b92,89,black,gun,530,correct
32,20,w15,90,white,nogun,491,correct
32,20,b05,91,black,nogun,806,correct
32,20,w93,92,white,nogun,523,correct
32,20,w11,93,white,gun,592,correct
32,20,b90,94,black,gun,588,correct
32,20,w14,95,white,nogun,498,correct
32,20,b96,96,black,nogun,503,correct
32,20,w02,97,white,nogun,471,correct
32,20,b09,98,black,gun,594,correct
32,20,w93,99,white,gun,410,correct
32,20,w06,100,white,gun,484,correct
32,20,b01,101,black,gun,458,correct
32,20,w08,102,white,gun,447,correct
32,20,w92,103,white,gun,631,correct
32,20,b13,104,black,gun,459,correct
32,20,w13,105,white,gun,544,correct
32,20,b10,106,black,gun,847,correct
32,20,w02,107,white,gun,413,correct
32,20,w07,108,white,nogun,567,correct
32,20,w96,109,white,nogun,668,correct
32,20,b08,110,black,nogun,647,correct
32,20,w99,111,white,nogun,525,correct
32,20,b95,112,black,gun,590,correct
32,20,b91,113,black,nogun,585,correct
32,20,b17,114,black,nogun,530,correct
32,20,b14,115,black,gun,520,correct
32,20,b99,116,black,gun,438,correct
32,20,b99,117,black,nogun,513,correct
32,20,b91,118,black,gun,440,correct
