subject,age,stimulus,trial,target,object,rt,response
25,23,w14,19,white,nogun,523,correct
25,23,w95,20,white,gun,592,correct
25,23,w93,21,white,gun,461,correct
25,23,w91,22,white,gun,616,correct
25,23,w92,23,white,nogun,595,incorrect
25,23,b05,24,black,nogun,0,incorrect
25,23,w05,25,white,nogun,825,correct
25,23,w16,26,white,gun,543,correct
25,23,w01,27,white,nogun,642,correct
25,23,w08,28,white,nogun,639,correct
25,23,w96,29,white,gun,448,correct
25,23,b96,30,black,nogun,448,correct
25,23,w98,31,white,nogun,675,correct
25,23,w05,32,white,gun,525,correct
25,23,b95,33,black,gun,699,correct
25,23,b12,34,black,gun,499,correct
25,23,b01,35,black,gun,496,correct
25,23,w99,36,white,nogun,579,correct
25,23,w95,37,white,nogun,555,correct
25,23,b16,38,black,nogun,672,correct
25,23,w90,39,white,nogun,628,correct
25,23,w07,40,white,nogun,507,correct
25,23,b99,41,black,gun,448,correct
25,23,b02,42,black,gun,580,correct
25,23,w13,43,white,gun,738,correct
25,23,b97,44,black,gun,573,correct
25,23,w11,45,white,nogun,553,correct
25,23,w15,46,white,gun,462,correct
25,23,b98,47,black,nogun,688,correct
25,23,w08,48,white,gun,521,correct
25,23,w97,49,white,nogun,577,correct
25,23,w02,50,white,gun,583,correct
25,23,w04,51,white,nogun,553,correct
25,23,w14,52,white,gun,449,correct
25,23,b94,53,black,gun,496,correct
25,23,w06,54,white,nogun,564,correct
25,23,b92,55,black,gun,573,correct
25,23,b01,56,black,nogun,650,correct
25,23,b14,57,black,nogun,613,correct
25,23,w94,58,white,nogun,601,correct
25,23,w91,59,white,nogun,570,correct
25,23,w06,60,white,gun,584,correct
25,23,b90,61,black,nogun,580,correct
25,23,b09,62,black,nogun,570,correct
25,23,w19,63,white,gun,390,correct
25,23,w16,64,white,nogun,608,correct
25,23,w13,65,white,nogun,536,correct
25,23,w15,66,white,nogun,561,correct
25,23,b04,67,black,gun,537,correct
25,23,w11,68,white,gun,506,correct
25,23,w01,69,white,gun,580,correct
25,23,b03,70,black,nogun,630,correct
25,23,w96,71,white,nogun,0,incorrect
25,23,w92,72,white,gun,740,correct
25,23,w97,73,white,gun,504,correct
25,23,b02,74,black,nogun,597,correct
25,23,b10,75,black,nogun,0,incorrect
25,23,b96,76,black,gun,573,correct
25,23,w98,77,white,gun,424,correct
25,23,w02,78,white,nogun,466,correct
25,23,b04,79,black,nogun,630,correct
25,23,w07,80,white,gun,563,correct
25,23,w03,81,white,nogun,660,correct
25,23,w90,82,white,gun,476,correct
25,23,b11,83,black,gun,611,correct
25,23,w04,84,white,gun,570,correct
25,23,b12,85,black,nogun,646,incorrect
25,23,b99,86,black,nogun,628,correct
25,23,w17,87,white,nogun,661,correct
25,23,b97,88,black,nogun,695,correct
25,23,b90,89,black,gun,633,correct
25,23,b08,90,black,nogun,688,correct
25,23,w17,91,white,gun,640,correct
25,23,b17,92,black,gun,602,correct
25,23,b16,93,black,gun,551,correct
25,23,w93,94,white,nogun,516,correct
25,23,b13,95,black,gun,494,correct
25,23,w03,96,white,gun,415,correct
25,23,b10,97,black,gun,551,correct
25,23,b08,98,black,gun,539,correct
25,23,w99,99,white,gun,535,correct
25,23,w19,100,white,nogun,763,correct
25,23,b93,101,black,nogun,516,correct
25,23,b94,102,black,nogun,599,correct
25,23,b09,103,black,gun,638,correct
25,23,b07,104,black,gun,659,correct
25,23,w94,105,white,gun,489,correct
25,23,b14,106,black,gun,496,correct
25,23,b98,107,black,gun,531,correct
25,23,b92,108,black,nogun,531,correct
25,23,b91,109,black,nogun,557,correct
25,23,b13,110,black,nogun,667,correct
25,23,b91,111,black,gun,470,correct
25,23,b11,112,black,nogun,687,correct
25,23,b03,113,black,gun,488,correct
25,23,b17,114,black,nogun,641,correct
25,23,b93,115,black,gun,553,correct
25,23,b95,116,black,nogun,563,correct
25,23,b07,117,black,nogun,727,correct
25,23,b05,118,black,gun,557,correct
