subject,age,stimulus,trial,target,object,rt,response
21,25,b13,19,black,gun,456,correct
21,25,w97,20,white,nogun,389,incorrect
21,25,w97,21,white,gun,664,correct
21,25,w19,22,white,nogun,773,correct
21,25,b97,23,black,gun,607,correct
21,25,b99,24,black,nogun,470,incorrect
21,25,w91,25,white,nogun,561,correct
21,25,b16,26,black,nogun,607,correct
21,25,w13,27,white,nogun,791,correct
21,25,w11,28,white,gun,731,correct
21,25,w93,29,white,nogun,660,correct
21,25,b91,30,black,gun,518,correct
21,25,w14,31,white,nogun,663,correct
21,25,w13,32,white,gun,649,correct
21,25,w03,33,white,nogun,710,correct
21,25,b03,34,black,gun,561,correct
21,25,w95,35,white,nogun,649,correct
21,25,b07,36,black,nogun,830,correct
21,25,b13,37,black,nogun,0,incorrect
21,25,w03,38,white,gun,642,correct
21,25,w06,39,white,gun,697,correct
21,25,b05,40,black,nogun,649,correct
21,25,w14,41,white,gun,538,correct
21,25,w11,42,white,nogun,546,correct
21,25,w07,43,white,gun,593,correct
21,25,w02,44,white,gun,536,correct
21,25,b17,45,black,nogun,656,correct
21,25,b09,46,black,gun,594,correct
21,25,w01,47,white,nogun,627,correct
21,25,b17,48,black,gun,620,correct
21,25,b95,49,black,gun,506,correct
21,25,w98,50,white,nogun,591,correct
21,25,w16,51,white,nogun,604,correct
21,25,b96,52,black,nogun,452,correct
21,25,w95,53,white,gun,702,correct
21,25,b05,54,black,gun,577,correct
21,25,b10,55,black,gun,639,correct
21,25,b01,56,black,gun,524,correct
21,25,w99,57,white,nogun,349,correct
21,25,w08,58,white,nogun,724,correct
21,25,w04,59,white,gun,547,correct
21,25,w94,60,white,nogun,640,correct
21,25,w15,61,white,gun,542,correct
21,25,b07,62,black,gun,479,correct
21,25,b97,63,black,nogun,629,correct
21,25,b91,64,black,nogun,0,incorrect
21,25,b03,65,black,nogun,714,correct
21,25,w96,66,white,gun,577,correct
21,25,b04,67,black,gun,657,correct
21,25,b02,68,black,nogun,685,correct
21,25,w92,69,white,gun,0,incorrect
21,25,b09,70,black,nogun,550,correct
21,25,w92,71,white,nogun,601,correct
21,25,w91,72,white,gun,629,correct
21,25,w17,73,white,nogun,660,correct
21,25,w93,74,white,gun,489,correct
21,25,w96,75,white,nogun,615,correct
21,25,b16,76,black,gun,551,correct
21,25,b98,77,black,nogun,801,correct
21,25,b90,78,black,nogun,588,correct
21,25,w15,79,white,nogun,551,correct
21,25,b12,80,black,nogun,555,incorrect
21,25,b92,81,black,gun,750,correct
21,25,w02,82,white,nogun,543,correct
21,25,w98,83,white,gun,620,correct
21,25,b01,84,black,nogun,583,correct
21,25,b94,85,black,gun,593,correct
21,25,w17,86,white,gun,0,incorrect
21,25,b90,87,black,gun,536,correct
21,25,b93,88,black,gun,722,correct
21,25,w99,89,white,gun,592,correct
21,25,w07,90,white,nogun,604,correct
21,25,w90,91,white,gun,410,correct
21,25,b08,92,black,nogun,648,correct
21,25,w94,93,white,gun,468,correct
21,25,w04,94,white,nogun,531,correct
21,25,w01,95,white,gun,555,correct
21,25,b14,96,black,gun,541,correct
21,25,w16,97,white,gun,563,correct
21,25,w06,98,white,nogun,623,correct
21,25,w08,99,white,gun,506,correct
21,25,w05,100,white,nogun,650,correct
21,25,w19,101,white,gun,505,correct
21,25,b93,102,black,nogun,515,correct
21,25,b94,103,black,nogun,607,correct
21,25,b96,104,black,gun,394,correct
21,25,w05,105,white,gun,436,correct
21,25,b12,106,black,gun,352,correct
21,25,w90,107,white,nogun,642,correct
21,25,b14,108,black,nogun,836,correct
21,25,b04,109,black,nogun,667,correct
21,25,b10,110,black,nogun,594,correct
21,25,b95,111,black,nogun,498,correct
21,25,b98,112,black,gun,795,correct
21,25,b02,113,black,gun,714,correct
21,25,b11,114,black,nogun,670,correct
21,25,b11,115,black,gun,571,correct
21,25,b08,116,black,gun,445,correct
21,25,b99,117,black,gun,527,correct
21,25,b92,118,black,nogun,603,correct
