subject,age,stimulus,trial,target,object,rt,response
27,22,b17,19,black,nogun,515,correct
27,22,b94,20,black,nogun,560,incorrect
27,22,w90,21,white,gun,532,correct
27,22,b12,22,black,nogun,523,correct
27,22,b10,23,black,gun,655,incorrect
27,22,b03,24,black,gun,476,correct
27,22,b07,25,black,gun,503,correct
27,22,b92,26,black,gun,559,correct
27,22,b16,27,black,gun,573,correct
27,22,b04,28,black,nogun,551,correct
27,22,b05,29,black,gun,569,correct
27,22,b11,30,black,gun,706,correct
27,22,w98,31,white,gun,558,correct
27,22,w98,32,white,nogun,751,correct
27,22,w17,33,white,gun,0,incorrect
27,22,w93,34,white,nogun,644,correct
27,22,w19,35,white,gun,525,correct
27,22,b14,36,black,gun,585,correct
27,22,w97,37,white,gun,609,correct
27,22,w04,38,white,nogun,603,correct
27,22,w06,39,white,gun,655,correct
27,22,w16,40,white,gun,558,correct
27,22,w90,41,white,nogun,678,correct
27,22,b93,42,black,gun,524,correct
27,22,b91,43,black,nogun,777,correct
27,22,w11,44,white,gun,508,correct
27,22,w13,45,white,gun,488,correct
27,22,b09,46,black,nogun,581,correct
27,22,b12,47,black,gun,518,correct
27,22,w05,48,white,gun,435,correct
27,22,w91,49,white,gun,604,correct
27,22,w94,50,white,gun,428,correct
27,22,b08,51,black,gun,440,correct
27,22,w05,52,white,nogun,484,incorrect
27,22,w17,53,white,nogun,0,incorrect
27,22,b07,54,black,nogun,713,correct
27,22,w95,55,white,gun,742,correct
27,22,w01,56,white,nogun,589,correct
27,22,b08,57,black,nogun,0,incorrect
27,22,b98,58,black,nogun,577,correct
27,22,b91,59,black,gun,521,correct
27,22,b02,60,black,gun,622,correct
27,22,w14,61,white,gun,456,correct
27,22,b96,62,black,nogun,524,correct
27,22,w95,63,white,nogun,596,correct
27,22,w19,64,white,nogun,716,correct
27,22,w99,65,white,gun,661,correct
27,22,b97,66,black,gun,551,correct
27,22,w16,67,white,nogun,546,correct
27,22,b11,68,black,nogun,572,correct
27,22,b10,69,black,nogun,541,correct
27,22,b05,70,black,nogun,528,correct
27,22,w92,71,white,nogun,558,correct
27,22,b13,72,black,gun,444,correct
27,22,w99,73,white,nogun,555,correct
27,22,b92,74,black,nogun,539,correct
27,22,w03,75,white,gun,574,incorrect
27,22,b16,76,black,nogun,680,correct
27,22,w15,77,white,gun,513,correct
27,22,b04,78,black,gun,569,correct
27,22,b01,79,black,gun,501,correct
27,22,b93,80,black,nogun,622,correct
27,22,w93,81,white,gun,526,correct
27,22,w94,82,white,nogun,586,correct
27,22,w02,83,white,nogun,604,correct
27,22,b99,84,black,nogun,583,correct
27,22,b09,85,black,gun,713,correct
27,22,w96,86,white,nogun,792,correct
27,22,w14,87,white,nogun,629,correct
27,22,w92,88,white,gun,790,correct
27,22,w13,89,white,nogun,548,correct
27,22,b95,90,black,gun,597,correct
27,22,w07,91,white,nogun,566,correct
27,22,b99,92,black,gun,483,correct
27,22,w96,93,white,gun,506,correct
27,22,w04,94,white,gun,578,correct
27,22,w91,95,white,nogun,519,correct
27,22,w97,96,white,nogun,636,correct
27,22,w15,97,white,nogun,480,correct
27,22,b03,98,black,nogun,702,correct
27,22,b97,99,black,nogun,0,incorrect
27,22,b01,100,black,nogun,635,correct
27,22,b95,101,black,nogun,524,correct
27,22,b90,102,black,nogun,625,correct
27,22,b94,103,black,gun,502,correct
27,22,b90,104,black,gun,586,correct
27,22,w08,105,white,nogun,789,correct
27,22,b17,106,black,gun,562,correct
27,22,w03,107,white,nogun,780,correct
27,22,b02,108,black,nogun,507,correct
27,22,b96,109,black,gun,568,correct
27,22,w02,110,white,gun,619,correct
27,22,w11,111,white,nogun,546,correct
27,22,w07,112,white,gun,517,correct
27,22,w08,113,white,gun,660,correct
27,22,b14,114,black,nogun,611,correct
27,22,w06,115,white,nogun,755,correct
27,22,b98,116,black,gun,521,correct
27,22,w01,117,white,gun,581,correct
27,22,b13,118,black,nogun,764,correct
