subject,age,stimulus,trial,target,object,rt,response
31,20,b90,19,black,gun,478,correct
31,20,b92,20,black,nogun,600,correct
31,20,w92,21,white,nogun,573,correct
31,20,w98,22,white,nogun,572,correct
31,20,b13,23,black,gun,372,correct
31,20,w14,24,white,gun,410,correct
31,20,b07,25,black,nogun,458,incorrect
31,20,b90,26,black,nogun,669,correct
31,20,b12,27,black,nogun,668,correct
31,20,b97,28,black,nogun,687,correct
31,20,w04,29,white,nogun,622,correct
31,20,w05,30,white,nogun,689,correct
31,20,w90,31,white,gun,513,correct
31,20,w03,32,white,gun,484,correct
31,20,w11,33,white,gun,537,correct
31,20,w01,34,white,nogun,665,correct
31,20,b96,35,black,nogun,518,correct
31,20,w91,36,white,gun,691,correct
31,20,b91,37,black,gun,438,correct
31,20,b13,38,black,nogun,577,correct
31,20,w13,39,white,gun,551,correct
31,20,w03,40,white,nogun,502,incorrect
31,20,w96,41,white,gun,597,correct
31,20,b09,42,black,gun,649,correct
31,20,b93,43,black,gun,579,correct
31,20,b97,44,black,gun,497,correct
31,20,b02,45,black,nogun,586,correct
31,20,b03,46,black,gun,497,correct
31,20,b16,47,black,gun,536,correct
31,20,b01,48,black,nogun,546,correct
31,20,w08,49,white,nogun,669,correct
31,20,b98,50,black,gun,507,correct
31,20,w13,51,white,nogun,565,correct
31,20,w04,52,white,gun,548,correct
31,20,w05,53,white,gun,441,correct
31,20,w08,54,white,gun,529,correct
31,20,w11,55,white,nogun,641,correct
31,20,w06,56,white,nogun,643,correct
31,20,b10,57,black,nogun,0,incorrect
31,20,b11,58,black,nogun,631,correct
31,20,w02,59,white,gun,516,incorrect
31,20,w17,60,white,nogun,576,correct
31,20,w93,61,white,gun,492,correct
31,20,b08,62,black,gun,517,correct
31,20,w99,63,white,gun,517,correct
31,20,w92,64,white,gun,741,correct
31,20,b03,65,black,nogun,564,correct
31,20,b04,66,black,nogun,697,correct
31,20,w99,67,white,nogun,544,correct
31,20,w14,68,white,nogun,551,correct
31,20,b09,69,black,nogun,579,correct
31,20,b98,70,black,nogun,657,correct
31,20,b10,71,black,gun,733,correct
31,20,w96,72,white,nogun,675,correct
31,20,w97,73,white,nogun,498,correct
31,20,w19,74,white,gun,555,correct
31,20,w97,75,white,gun,480,correct
31,20,w07,76,white,nogun,534,correct
31,20,b02,77,black,gun,499,correct
31,20,b07,78,black,gun,516,correct
31,20,w15,79,white,nogun,526,correct
31,20,b95,80,black,nogun,553,correct
31,20,w95,81,white,nogun,609,correct
31,20,w02,82,white,nogun,514,correct
31,20,w16,83,white,gun,717,correct
31,20,w16,84,white,nogun,693,correct
31,20,w91,85,white,nogun,545,correct
31,20,b93,86,black,nogun,613,correct
31,20,b05,87,black,nogun,721,correct
31,20,w93,88,white,nogun,575,correct
31,20,b01,89,black,gun,492,correct
31,20,b17,90,black,gun,796,correct
31,20,b94,91,black,gun,433,correct
31,20,b12,92,black,gun,494,correct
31,20,w07,93,white,gun,569,correct
31,20,w17,94,white,gun,672,correct
31,20,w95,95,white,gun,545,correct
31,20,b91,96,black,nogun,573,correct
31,20,b14,97,black,gun,488,correct
31,20,b04,98,black,gun,530,correct
31,20,b14,99,black,nogun,740,correct
31,20,w19,100,white,nogun,660,correct
31,20,w01,101,white,gun,559,correct
31,20,b08,102,black,nogun,0,incorrect
31,20,b94,103,black,nogun,621,correct
31,20,w94,104,white,nogun,618,correct
31,20,w94,105,white,gun,455,correct
31,20,w15,106,white,gun,442,correct
31,20,b05,107,black,gun,528,correct
31,20,w06,108,white,gun,488,correct
31,20,w98,109,white,gun,465,correct
31,20,w90,110,white,nogun,625,correct
31,20,b92,111,black,gun,463,correct
31,20,b16,112,black,nogun,517,correct
31,20,b95,113,black,gun,544,correct
31,20,b99,114,black,nogun,618,correct
31,20,b11,115,black,gun,482,correct
31,20,b96,116,black,gun,448,correct
31,20,b17,117,black,nogun,602,correct
31,20,b99,118,black,gun,424,correct
