subject,age,stimulus,trial,target,object,rt,response
7,32,w13,19,white,nogun,519,correct
7,32,w17,20,white,gun,633,correct
7,32,b97,21,black,nogun,752,correct
7,32,b90,22,black,nogun,562,correct
7,32,b05,23,black,nogun,684,correct
7,32,w01,24,white,gun,508,correct
7,32,w90,25,white,nogun,567,correct
7,32,w04,26,white,nogun,666,correct
7,32,w91,27,white,gun,742,correct
7,32,b04,28,black,gun,621,correct
7,32,w95,29,white,gun,735,correct
7,32,b92,30,black,gun,521,correct
7,32,b13,31,black,gun,506,correct
7,32,b03,32,black,gun,472,correct
7,32,w16,33,white,nogun,632,correct
7,32,w11,34,white,gun,464,correct
7,32,w98,35,white,nogun,631,correct
7,32,b09,36,black,gun,527,correct
7,32,b93,37,black,nogun,628,correct
7,32,b10,38,black,nogun,762,correct
7,32,w02,39,white,nogun,654,correct
7,32,b16,40,black,gun,529,correct
7,32,b07,41,black,gun,518,correct
7,32,b93,42,black,gun,441,correct
7,32,b01,43,black,nogun,679,correct
7,32,w17,44,white,nogun,744,correct
7,32,w02,45,white,gun,605,correct
7,32,w95,46,white,nogun,605,correct
7,32,w07,47,white,gun,623,correct
7,32,b10,48,black,gun,772,correct
7,32,b90,49,black,gun,700,correct
7,32,b12,50,black,nogun,0,incorrect
7,32,b94,51,black,gun,528,correct
7,32,b96,52,black,gun,554,correct
7,32,w14,53,white,nogun,647,correct
7,32,w96,54,white,nogun,0,incorrect
7,32,w03,55,white,nogun,826,correct
7,32,w08,56,white,gun,628,correct
7,32,w90,57,white,gun,546,correct
7,32,w04,58,white,gun,608,correct
7,32,b14,59,black,gun,577,correct
7,32,b08,60,black,nogun,780,correct
7,32,w93,61,white,nogun,623,correct
7,32,b98,62,black,nogun,738,correct
7,32,w98,63,white,gun,499,correct
7,32,b91,64,black,gun,485,correct
7,32,b04,65,black,nogun,595,correct
7,32,w94,66,white,gun,448,correct
7,32,b95,67,black,gun,637,correct
7,32,b08,68,black,gun,397,correct
7,32,w92,69,white,gun,726,incorrect
7,32,b14,70,black,nogun,522,incorrect
7,32,b91,71,black,nogun,606,correct
7,32,b07,72,black,nogun,0,incorrect
7,32,b09,73,black,nogun,634,correct
7,32,w06,74,white,nogun,638,correct
7,32,b03,75,black,nogun,544,correct
7,32,b02,76,black,gun,642,correct
7,32,w05,77,white,gun,521,correct
7,32,b01,78,black,gun,467,correct
7,32,b11,79,black,gun,732,correct
7,32,w15,80,white,gun,474,correct
7,32,w07,81,white,nogun,626,correct
7,32,w01,82,white,nogun,679,correct
7,32,w13,83,white,gun,540,correct
7,32,w99,84,white,gun,497,correct
7,32,w14,85,white,gun,419,correct
7,32,w11,86,white,nogun,653,correct
7,32,b13,87,black,nogun,799,correct
7,32,w91,88,white,nogun,561,correct
7,32,w92,89,white,nogun,640,correct
7,32,b11,90,black,nogun,693,correct
7,32,b02,91,black,nogun,621,correct
7,32,w99,92,white,nogun,699,correct
7,32,w19,93,white,nogun,679,correct
7,32,w06,94,white,gun,770,correct
7,32,b94,95,black,nogun,570,correct
7,32,b97,96,black,gun,547,correct
7,32,b05,97,black,gun,453,correct
7,32,b95,98,black,nogun,623,correct
7,32,b17,99,black,gun,822,correct
7,32,w96,100,white,gun,576,correct
7,32,b12,101,black,gun,500,correct
7,32,b96,102,black,nogun,547,correct
7,32,b17,103,black,nogun,641,correct
7,32,b98,104,black,gun,539,correct
7,32,b92,105,black,nogun,653,correct
7,32,b99,106,black,nogun,589,correct
7,32,w15,107,white,nogun,480,correct
7,32,w94,108,white,nogun,625,correct
7,32,b99,109,black,gun,573,correct
7,32,b16,110,black,nogun,511,correct
7,32,w97,111,white,nogun,693,correct
7,32,w19,112,white,gun,597,correct
7,32,w03,113,white,gun,602,correct
7,32,w05,114,white,nogun,694,correct
7,32,w93,115,white,gun,592,correct
7,32,w97,116,white,gun,487,correct
7,32,w08,117,white,nogun,650,correct
7,32,w16,118,white,gun,732,correct
