subject,age,stimulus,trial,target,object,rt,response
8,32,w06,19,white,nogun,567,correct
8,32,w14,20,white,nogun,551,correct
8,32,w96,21,white,nogun,585,correct
8,32,b98,22,black,gun,575,correct
8,32,b11,23,black,gun,574,correct
8,32,b01,24,black,gun,722,correct
8,32,b02,25,black,nogun,614,correct
8,32,b99,26,black,nogun,751,correct
8,32,w08,27,white,nogun,805,correct
8,32,w96,28,white,gun,724,correct
8,32,w08,29,white,gun,802,correct
8,32,w14,30,white,gun,477,correct
8,32,b14,31,black,nogun,702,correct
8,32,w04,32,white,gun,644,correct
8,32,b16,33,black,gun,538,correct
8,32,b14,34,black,gun,583,correct
8,32,w15,35,white,nogun,464,correct
8,32,w11,36,white,nogun,658,correct
8,32,b01,37,black,nogun,634,correct
8,32,w93,38,white,nogun,687,correct
8,32,b09,39,black,gun,602,correct
8,32,b95,40,black,nogun,624,correct
8,32,b99,41,black,gun,559,correct
8,32,b97,42,black,gun,623,correct
8,32,b92,43,black,nogun,650,correct
8,32,w05,44,white,gun,556,correct
8,32,w11,45,white,gun,568,correct
8,32,w98,46,white,nogun,645,correct
8,32,b07,47,black,gun,544,correct
8,32,b94,48,black,nogun,667,correct
8,32,w92,49,white,gun,0,incorrect
8,32,w92,50,white,nogun,664,correct
8,32,b07,51,black,nogun,789,correct
8,32,b04,52,black,gun,563,correct
8,32,b02,53,black,gun,608,correct
8,32,b04,54,black,nogun,580,correct
8,32,b97,55,black,nogun,711,correct
8,32,w13,56,white,gun,605,correct
8,32,b10,57,black,gun,733,correct
8,32,b08,58,black,nogun,748,correct
8,32,w01,59,white,gun,738,correct
8,32,b08,60,black,gun,508,correct
8,32,b16,61,black,nogun,687,correct
8,32,w03,62,white,nogun,734,correct
8,32,w90,63,white,nogun,589,correct
8,32,b03,64,black,gun,663,correct
8,32,w13,65,white,nogun,637,correct
8,32,w03,66,white,gun,628,correct
8,32,b90,67,black,nogun,776,correct
8,32,b98,68,black,nogun,638,correct
8,32,w07,69,white,gun,684,correct
8,32,w91,70,white,gun,692,correct
8,32,b92,71,black,gun,570,correct
8,32,b09,72,black,nogun,628,correct
8,32,b17,73,black,gun,693,correct
8,32,b90,74,black,gun,665,correct
8,32,b13,75,black,gun,517,correct
8,32,w91,76,white,nogun,641,correct
8,32,b93,77,black,nogun,581,correct
8,32,b96,78,black,nogun,618,correct
8,32,w02,79,white,gun,582,correct
8,32,w19,80,white,gun,660,correct
8,32,b17,81,black,nogun,677,correct
8,32,w94,82,white,gun,549,correct
8,32,b10,83,black,nogun,809,correct
8,32,w07,84,white,nogun,609,correct
8,32,b95,85,black,gun,599,correct
8,32,w98,86,white,gun,606,correct
8,32,b12,87,black,nogun,783,correct
8,32,w01,88,white,nogun,693,correct
8,32,b12,89,black,gun,674,correct
8,32,w94,90,white,nogun,602,correct
8,32,w19,91,white,nogun,645,correct
8,32,w90,92,white,gun,547,correct
8,32,w16,93,white,gun,633,correct
8,32,w05,94,white,nogun,730,correct
8,32,b13,95,black,nogun,779,correct
8,32,w06,96,white,gun,841,correct
8,32,w97,97,white,gun,606,correct
8,32,w99,98,white,gun,520,correct
8,32,w17,99,white,nogun,681,correct
8,32,w15,100,white,gun,585,correct
8,32,w99,101,white,nogun,627,correct
8,32,w95,102,white,gun,774,correct
8,32,w02,103,white,nogun,611,correct
8,32,w95,104,white,nogun,601,correct
8,32,b03,105,black,nogun,671,correct
8,32,b05,106,black,gun,533,correct
8,32,b94,107,black,gun,552,correct
8,32,w16,108,white,nogun,580,correct
8,32,w04,109,white,nogun,664,correct
8,32,w97,110,white,nogun,669,correct
8,32,w93,111,white,gun,0,incorrect
8,32,w17,112,white,gun,593,correct
8,32,b91,113,black,gun,510,correct
8,32,b91,114,black,nogun,650,correct
8,32,b96,115,black,gun,545,correct
8,32,b93,116,black,gun,495,correct
8,32,b11,117,black,nogun,591,correct
8,32,b05,118,black,nogun,615,correct
