subject,age,stimulus,trial,target,object,rt,response
18,27,b95,19,black,gun,0,incorrect
18,27,b05,20,black,gun,615,correct
18,27,b04,21,black,nogun,559,correct
18,27,w04,22,white,nogun,488,incorrect
18,27,b17,23,black,nogun,719,correct
18,27,w02,24,white,gun,547,correct
18,27,b07,25,black,gun,688,correct
18,27,b93,26,black,nogun,530,correct
18,27,w13,27,white,nogun,544,correct
18,27,w06,28,white,gun,552,correct
18,27,b16,29,black,nogun,555,correct
18,27,b96,30,black,nogun,524,correct
18,27,w93,31,white,gun,492,correct
18,27,b94,32,black,gun,470,correct
18,27,w03,33,white,gun,635,correct
18,27,w99,34,white,nogun,623,correct
18,27,b99,35,black,nogun,593,correct
18,27,w16,36,white,nogun,631,correct
18,27,b14,37,black,gun,699,correct
18,27,b02,38,black,gun,486,correct
18,27,w91,39,white,nogun,540,correct
18,27,w07,40,white,nogun,571,correct
18,27,w14,41,white,gun,496,correct
18,27,b05,42,black,nogun,594,correct
18,27,b17,43,black,gun,586,incorrect
18,27,w95,44,white,nogun,642,correct
18,27,b12,45,black,gun,763,correct
18,27,w90,46,white,gun,489,correct
18,27,w19,47,white,nogun,769,correct
18,27,b98,48,black,nogun,744,correct
18,27,w94,49,white,nogun,607,correct
18,27,b10,50,black,gun,0,incorrect
18,27,w91,51,white,gun,605,correct
18,27,b91,52,black,nogun,664,correct
18,27,w94,53,white,gun,506,correct
18,27,b09,54,black,nogun,620,correct
18,27,b90,55,black,gun,644,correct
18,27,b92,56,black,gun,685,correct
18,27,w15,57,white,gun,525,correct
18,27,w96,58,white,nogun,744,correct
18,27,w07,59,white,gun,455,correct
18,27,b94,60,black,nogun,614,correct
18,27,w11,61,white,gun,617,correct
18,27,b10,62,black,nogun,807,correct
18,27,b03,63,black,nogun,569,correct
18,27,b01,64,black,gun,726,incorrect
18,27,b92,65,black,nogun,0,incorrect
18,27,b07,66,black,nogun,812,incorrect
18,27,b93,67,black,gun,694,correct
18,27,w93,68,white,nogun,687,correct
18,27,w15,69,white,nogun,551,correct
18,27,w04,70,white,gun,550,correct
18,27,b12,71,black,nogun,713,correct
18,27,w96,72,white,gun,614,incorrect
18,27,b14,73,black,nogun,548,correct
18,27,b98,74,black,gun,525,correct
18,27,w08,75,white,nogun,764,correct
18,27,b11,76,black,gun,594,correct
18,27,b03,77,black,gun,536,correct
18,27,b02,78,black,nogun,525,correct
18,27,b96,79,black,gun,538,correct
18,27,b08,80,black,nogun,670,correct
18,27,b13,81,black,nogun,628,correct
18,27,b13,82,black,gun,517,correct
18,27,w14,83,white,nogun,735,correct
18,27,b91,84,black,gun,755,correct
18,27,w17,85,white,gun,597,incorrect
18,27,w11,86,white,nogun,624,correct
18,27,w05,87,white,gun,498,correct
18,27,w16,88,white,gun,827,correct
18,27,w13,89,white,gun,598,correct
18,27,b97,90,black,nogun,766,correct
18,27,w05,91,white,nogun,719,correct
18,27,w97,92,white,nogun,0,incorrect
18,27,w17,93,white,nogun,606,correct
18,27,b16,94,black,gun,558,correct
18,27,w99,95,white,gun,618,correct
18,27,w02,96,white,nogun,558,correct
18,27,w01,97,white,nogun,777,correct
18,27,w98,98,white,gun,533,correct
18,27,w98,99,white,nogun,746,correct
18,27,b90,100,black,nogun,788,correct
18,27,w03,101,white,nogun,790,correct
18,27,w08,102,white,gun,717,correct
18,27,b04,103,black,gun,621,correct
18,27,b99,104,black,gun,518,correct
18,27,w92,105,white,gun,0,incorrect
18,27,b08,106,black,gun,570,correct
18,27,b11,107,black,nogun,684,correct
18,27,b97,108,black,gun,540,correct
18,27,w19,109,white,gun,737,correct
18,27,w90,110,white,nogun,625,correct
18,27,w06,111,white,nogun,565,correct
18,27,w01,112,white,gun,611,correct
18,27,w95,113,white,gun,777,correct
18,27,w92,114,white,nogun,633,correct
18,27,w97,115,white,gun,466,correct
18,27,b95,116,black,nogun,592,correct
18,27,b01,117,black,nogun,739,correct
18,27,b09,118,black,gun,674,incorrect
