subject,age,stimulus,trial,target,object,rt,response
36,18,b10,19,black,nogun,732,correct
36,18,w93,20,white,nogun,690,correct
36,18,b02,21,black,gun,525,correct
36,18,w19,22,white,gun,589,correct
36,18,b92,23,black,gun,623,incorrect
36,18,w94,24,white,nogun,0,incorrect
36,18,w04,25,white,gun,565,correct
36,18,b01,26,black,gun,566,correct
36,18,w97,27,white,nogun,649,correct
36,18,b14,28,black,gun,532,correct
36,18,w16,29,white,nogun,659,correct
36,18,b17,30,black,nogun,733,correct
36,18,b11,31,black,nogun,569,correct
36,18,b96,32,black,nogun,454,correct
36,18,b08,33,black,gun,512,correct
36,18,b95,34,black,gun,485,correct
36,18,b09,35,black,gun,620,correct
36,18,b96,36,black,gun,565,correct
36,18,b91,37,black,gun,730,correct
36,18,w92,38,white,nogun,708,correct
36,18,w15,39,white,nogun,626,correct
36,18,w91,40,white,gun,690,correct
36,18,w07,41,white,nogun,656,correct
36,18,w04,42,white,nogun,632,correct
36,18,b90,43,black,nogun,621,correct
36,18,w01,44,white,nogun,618,correct
36,18,b13,45,black,gun,659,correct
36,18,w17,46,white,gun,637,correct
36,18,w06,47,white,gun,621,correct
36,18,b91,48,black,nogun,702,correct
36,18,b92,49,black,nogun,658,correct
36,18,b03,50,black,gun,530,correct
36,18,w95,51,white,gun,645,correct
36,18,b12,52,black,nogun,0,incorrect
36,18,w05,53,white,gun,495,correct
36,18,b02,54,black,nogun,594,correct
36,18,w99,55,white,gun,624,correct
36,18,w03,56,white,gun,609,correct
36,18,w93,57,white,gun,487,correct
36,18,b93,58,black,nogun,597,correct
36,18,w90,59,white,gun,661,correct
36,18,b01,60,black,nogun,520,correct
36,18,w98,61,white,gun,470,correct
36,18,w15,62,white,gun,465,correct
36,18,b97,63,black,gun,458,correct
36,18,b13,64,black,nogun,695,correct
36,18,b04,65,black,nogun,530,correct
36,18,b09,66,black,nogun,535,correct
36,18,w11,67,white,gun,471,correct
36,18,w08,68,white,gun,542,correct
36,18,b16,69,black,nogun,509,correct
36,18,b98,70,black,gun,512,correct
36,18,w11,71,white,nogun,577,correct
36,18,w16,72,white,gun,615,correct
36,18,b07,73,black,gun,528,correct
36,18,b16,74,black,gun,505,correct
36,18,w97,75,white,gun,502,correct
36,18,b93,76,black,gun,442,correct
36,18,b97,77,black,nogun,765,correct
36,18,b95,78,black,nogun,658,correct
36,18,b04,79,black,gun,509,correct
36,18,b99,80,black,nogun,568,correct
36,18,w99,81,white,nogun,686,correct
36,18,w02,82,white,gun,611,correct
36,18,w02,83,white,nogun,540,correct
36,18,b99,84,black,gun,523,correct
36,18,w17,85,white,nogun,631,correct
36,18,b98,86,black,nogun,739,correct
36,18,b05,87,black,gun,633,correct
36,18,w91,88,white,nogun,564,correct
36,18,w94,89,white,gun,592,correct
36,18,b94,90,black,nogun,554,correct
36,18,w01,91,white,gun,619,correct
36,18,b07,92,black,nogun,736,correct
36,18,b08,93,black,nogun,0,incorrect
36,18,w06,94,white,nogun,713,correct
36,18,b17,95,black,gun,631,correct
36,18,w13,96,white,nogun,560,correct
36,18,b10,97,black,gun,721,correct
36,18,b11,98,black,gun,641,correct
36,18,w14,99,white,nogun,559,correct
36,18,w92,100,white,gun,815,correct
36,18,w03,101,white,nogun,542,incorrect
36,18,b14,102,black,nogun,638,correct
36,18,b94,103,black,gun,562,correct
36,18,w90,104,white,nogun,672,correct
36,18,w96,105,white,nogun,0,incorrect
36,18,w95,106,white,nogun,548,correct
36,18,b12,107,black,gun,520,correct
36,18,w96,108,white,gun,550,correct
36,18,w98,109,white,nogun,593,correct
36,18,w08,110,white,nogun,603,correct
36,18,w05,111,white,nogun,623,correct
36,18,b90,112,black,gun,713,correct
36,18,w07,113,white,gun,606,correct
36,18,w13,114,white,gun,591,correct
36,18,w19,115,white,nogun,645,correct
36,18,w14,116,white,gun,506,correct
36,18,b03,117,black,nogun,548,correct
36,18,b05,118,black,nogun,574,correct
