subject,age,stimulus,trial,target,object,rt,response
22,25,b98,19,black,nogun,594,correct
22,25,w90,20,white,gun,525,correct
22,25,w94,21,white,gun,572,correct
22,25,b12,22,black,gun,503,correct
22,25,w04,23,white,gun,663,correct
22,25,b03,24,black,gun,696,correct
22,25,b93,25,black,gun,602,correct
22,25,w01,26,white,gun,600,correct
22,25,w98,27,white,nogun,678,correct
22,25,b04,28,black,nogun,647,correct
22,25,w06,29,white,nogun,626,correct
22,25,b90,30,black,gun,550,correct
22,25,w02,31,white,gun,450,correct
22,25,w14,32,white,gun,490,correct
22,25,b11,33,black,nogun,586,correct
22,25,b09,34,black,nogun,658,correct
22,25,w07,35,white,nogun,602,correct
22,25,b91,36,black,gun,578,correct
22,25,b92,37,black,gun,704,correct
22,25,b07,38,black,nogun,756,correct
22,25,b94,39,black,gun,512,correct
22,25,w03,40,white,nogun,653,correct
22,25,b91,41,black,nogun,592,correct
22,25,b17,42,black,nogun,649,correct
22,25,w01,43,white,nogun,628,correct
22,25,b99,44,black,nogun,577,correct
22,25,w15,45,white,nogun,519,correct
22,25,b05,46,black,gun,573,correct
22,25,w92,47,white,gun,0,incorrect
22,25,w02,48,white,nogun,553,correct
22,25,w11,49,white,nogun,639,correct
22,25,b95,50,black,gun,505,correct
22,25,w11,51,white,gun,520,correct
22,25,b17,52,black,gun,668,correct
22,25,b96,53,black,gun,553,correct
22,25,w90,54,white,nogun,691,correct
22,25,w19,55,white,gun,568,correct
22,25,w08,56,white,gun,742,correct
22,25,w91,57,white,gun,721,correct
22,25,b97,58,black,gun,588,correct
22,25,b95,59,black,nogun,631,correct
22,25,b12,60,black,nogun,755,correct
22,25,b16,61,black,gun,551,correct
22,25,w07,62,white,gun,537,correct
22,25,b96,63,black,nogun,523,correct
22,25,w03,64,white,gun,565,correct
22,25,w04,65,white,nogun,598,correct
22,25,b13,66,black,nogun,0,incorrect
22,25,w17,67,white,nogun,621,correct
22,25,b13,68,black,gun,433,correct
22,25,b93,69,black,nogun,600,correct
22,25,b02,70,black,gun,543,correct
22,25,b05,71,black,nogun,583,correct
22,25,b92,72,black,nogun,681,correct
22,25,w97,73,white,nogun,714,correct
22,25,b14,74,black,gun,571,correct
22,25,b01,75,black,nogun,494,correct
22,25,b03,76,black,nogun,616,correct
22,25,b90,77,black,nogun,521,correct
22,25,b10,78,black,gun,722,correct
22,25,w93,79,white,nogun,572,correct
22,25,b07,80,black,gun,550,correct
22,25,w17,81,white,gun,765,correct
22,25,w97,82,white,gun,651,correct
22,25,b97,83,black,nogun,608,correct
22,25,b04,84,black,gun,604,correct
22,25,w05,85,white,gun,479,correct
22,25,w08,86,white,nogun,738,correct
22,25,w13,87,white,nogun,632,correct
22,25,w95,88,white,gun,717,correct
22,25,b11,89,black,gun,584,correct
22,25,w19,90,white,nogun,627,correct
22,25,w06,91,white,gun,709,correct
22,25,w93,92,white,gun,612,correct
22,25,b02,93,black,nogun,551,correct
22,25,b01,94,black,gun,544,correct
22,25,w16,95,white,nogun,590,correct
22,25,b09,96,black,gun,674,correct
22,25,w95,97,white,nogun,536,correct
22,25,b94,98,black,nogun,686,correct
22,25,w96,99,white,gun,610,correct
22,25,b08,100,black,nogun,683,correct
22,25,b98,101,black,gun,530,correct
22,25,b10,102,black,nogun,715,correct
22,25,w92,103,white,nogun,627,correct
22,25,b08,104,black,gun,539,correct
22,25,b14,105,black,nogun,659,correct
22,25,w96,106,white,nogun,0,incorrect
22,25,w05,107,white,nogun,560,correct
22,25,b16,108,black,nogun,545,correct
22,25,b99,109,black,gun,399,correct
22,25,w99,110,white,gun,696,correct
22,25,w14,111,white,nogun,578,correct
22,25,w16,112,white,gun,622,correct
22,25,w91,113,white,nogun,483,correct
22,25,w15,114,white,gun,501,correct
22,25,w99,115,white,nogun,611,correct
22,25,w13,116,white,gun,584,correct
22,25,w98,117,white,gun,617,correct
22,25,w94,118,white,nogun,528,correct
